FIPS,# of Food Insecure Persons Overall (1 Year)
28157,1900
28159,3330
28161,2080
28163,6450
29001,3440
29003,1650
29005,620
29007,3490
29009,5170
29011,1920
29013,2220
29015,3220
29017,1730
29019,20670
29021,11790
29023,7720
29025,1200
29027,4630
29029,6250
29031,9570
29033,1080
29035,1020
29037,10390
29039,2180
29041,900
29043,9320
29045,850
29047,24730
29049,2260
29051,7420
29053,2120
29055,3830
29057,1050
29059,2670
29061,910
29063,1230
29065,2390
29067,2010
29069,5340
29071,11570
29073,1710
29075,810
29077,39290
29079,1370
29081,1340
29083,3370
29085,1300
29087,490
29089,1000
29091,7360
29093,1860
29095,86300
29097,17370
29099,23960
29101,6230
29103,500
29105,5440
29107,3840
29109,5550
29111,1360
29113,6630
29115,1580
29117,1730
29119,3110
29121,1890
29123,1870
29125,1250
29127,3960
29129,400
29131,3440
29133,2340
29135,1650
29137,1150
29139,1520
29141,3160
29143,2810
29145,7260
29147,2680
29149,2080
29151,1100
29153,1720
29155,3510
29157,2100
29159,5920
29161,6510
29163,2410
29165,9150
29167,4280
29169,7220
29171,550
29173,1150
29175,3420
29177,2660
29179,1020
29181,2610
29183,29690
29185,1430
29186,1900
29187,10420
29189,97320
29195,2930
29197,650
29199,510
29201,5710
29203,1630
29205,760
29207,4740
29209,4590
29211,690
29213,9910
29215,4400
29217,2710
29219,4150
29221,4380
29223,2630
29225,5030
29227,260
29229,3090
29510,48260
30001,920
30003,1960
30005,1140
30007,480
30009,960
30011,120
30013,8130
30015,520
30017,1150
30019,110
30021,860
30023,1360
30025,250
30027,1170
30029,9170
30031,7590
30033,60
30035,2360
30037,80
30039,340
30041,1750
30043,760
30045,210
30047,3540
30049,5200
30051,320
30053,2870
30055,80
30057,610
30059,160
30061,620
30063,11330
30065,450
30067,1520
30069,30
30071,350
30073,670
30075,140
30077,750
30079,120
30081,4340
30083,880
30085,1710
30087,1060
30089,1520
30091,280
30093,4050
30095,580
30097,220
30099,570
30101,460
30103,60
30105,710
30107,270
30109,80
30111,12290
